lon	lat	depth
-124.628699	42.164138	-18.112735
-124.622653	42.164158	-18.163034
-124.616607	42.164177	-18.213340
-124.610561	42.164197	-18.245788
-124.604516	42.164215	-18.277044
-124.598470	42.164234	-18.308306
-124.592424	42.164252	-18.330660
-124.586378	42.164270	-18.345536
-124.580332	42.164288	-18.383301
-124.574286	42.164305	-18.419487
-124.568240	42.164322	-18.451258
-124.562194	42.164338	-18.483031
-124.556148	42.164355	-18.549439
-124.550102	42.164371	-18.627275
-124.544057	42.164386	-18.705288
-124.538011	42.164402	-18.783304
-124.531965	42.164417	-18.890155
-124.525919	42.164431	-19.006083
-124.519873	42.164446	-19.122023
-124.513827	42.164460	-19.256407
-124.507781	42.164474	-19.397213
-124.501735	42.164487	-19.538036
-124.495689	42.164500	-19.685338
-124.489643	42.164513	-19.867052
-124.483597	42.164525	-20.000630
-124.477551	42.164537	-20.134224
-124.471505	42.164549	-20.293955
-124.465459	42.164561	-20.457061
-124.459413	42.164572	-20.576064
-124.453367	42.164583	-20.704786
-124.447321	42.164593	-20.839593
-124.441275	42.164604	-20.974440
-124.435229	42.164614	-21.082712
-124.429183	42.164623	-21.195126
-124.423137	42.164633	-21.307570
-124.417091	42.164641	-21.419951
-124.411045	42.164650	-21.514691
-124.404999	42.164658	-21.609450
